day,btc
2016-05-09,15120.946761900035
2016-05-10,22571.93908791988
2016-05-11,8033.3444699700358
2016-05-12,18088.011603890067
2016-05-13,7127.417904730105
2016-05-14,3608.8090293500304
2016-05-15,5644.0521426100158
2016-05-16,8789.9878370101069
2016-05-17,7609.4091103900291
2016-05-18,7162.2570393500164
2016-05-19,30396.81255852956
2016-05-20,14241.015744509989
2016-05-21,6222.7092755499907
2016-05-22,7236.7060160300307
2016-05-23,7873.1272732800799
2016-05-24,8329.8337169300594
2016-05-25,12353.392389210168
2016-05-26,9517.7221388801026
2016-05-27,59125.789888279098
2016-05-28,74521.632908929692
2016-05-29,83566.134534099852
2016-05-30,32596.675723649088
2016-05-31,49880.611859468983
2016-06-01,27816.558571419941
2016-06-02,16882.368880750138
2016-06-03,48446.291765219743
2016-06-04,39118.52413868974
2016-06-05,28143.301081859623
2016-06-06,27464.294823039771
2016-06-07,36112.753034449423
2016-06-08,18084.176162129923
2016-06-09,21873.892421090011
2016-06-10,16178.042394170132
2016-06-11,28441.703906839619
2016-06-12,116432.04033077013
2016-06-13,117683.17615480241
2016-06-14,65715.570016770638
2016-06-15,34104.051553909565
2016-06-16,123792.10326990735
2016-06-17,97376.651126749959
2016-06-18,66955.088919069924
2016-06-19,26699.530995939585
2016-06-20,46264.535755639539
2016-06-21,102133.43481750983
2016-06-22,100527.24338806992
2016-06-23,122951.19634304232
2016-06-24,92367.923486819869
2016-06-25,55625.812189069504
2016-06-26,45122.519712448993
2016-06-27,46177.367153090279
2016-06-28,35578.387307359568
2016-06-29,33257.973199128945
2016-06-30,40248.023507509577
2016-07-01,41619.56329062955
2016-07-02,29202.518446199454
2016-07-03,44643.746638549637
2016-07-04,23524.418154609881
2016-07-05,17404.860986310086
2016-07-06,15922.737704850229
2016-07-07,75728.02667602904
2016-07-08,32848.489264829557
2016-07-09,46883.158678419488
2016-07-10,10274.864722100139
2016-07-11,13920.792177960084
2016-07-12,30215.611420999521
2016-07-13,17511.791598310068
2016-07-14,20197.930771340038
2016-07-15,9472.1695839401782
2016-07-16,5924.1441447700581
2016-07-17,20414.44362799999
2016-07-18,18078.663625090048
2016-07-19,10947.297734900061
2016-07-20,12852.469112070348
2016-07-21,10702.005596680196
2016-07-22,27841.923112709661
2016-07-23,10004.547168720035
2016-07-24,14018.785654070054
2016-07-25,14838.341104710125
2016-07-26,20359.809271609898
2016-07-27,13286.864400610219
2016-07-28,8880.2024211100452
2016-07-29,9227.871506030011
2016-07-30,8090.9604846400725
2016-07-31,33255.804678999622
2016-08-01,31426.516030029554
2016-08-02,33013.962337539771
2016-08-10,21352.111118530014
2016-08-11,15295.562428060031
2016-08-12,6287.9876002601168
2016-08-13,6420.3228369601156
2016-08-14,7530.3090421900815
2016-08-15,7650.1695165300398
2016-08-16,6221.5846713900555
2016-08-17,5033.031213310046
2016-08-18,6000.6229885000257
2016-08-19,2942.5172668100076
2016-08-20,3326.8148624500186
2016-08-21,2425.6072108700068
2016-08-22,4623.2270783800859
2016-08-23,4803.8067352700218
2016-08-24,5052.5670598700463
2016-08-25,3571.552715520017
2016-08-26,1769.1007023799937
2016-08-27,2258.2854850000026
2016-08-28,1518.1295123499951
2016-08-29,2800.790537770009
2016-08-30,3195.7998142400647
2016-08-31,3511.2538618600042
2016-09-01,3616.4945313100116
2016-09-02,5670.9168664700319
2016-09-03,8205.2525742101061
2016-09-04,5061.1038837700326
2016-09-05,5077.2079111600115
2016-09-06,3089.900301380047
2016-09-07,5526.0881543200676
2016-09-08,8271.4399382401007
2016-09-09,4272.0667237000116
2016-09-10,4044.1442577800667
2016-09-11,9640.7815431702365
2016-09-12,4972.7827870400552
2016-09-13,7273.9080299602529
2016-09-14,5932.2014428000703
2016-09-15,4374.8612484800342
2016-09-16,3703.3321278400222
2016-09-17,3566.4993196500127
2016-09-18,2932.957932270012
2016-09-19,2956.966400140002
2016-09-20,3414.8598507400006
2016-09-21,7658.4516944401439
2016-09-22,2333.4253111199964
2016-09-23,1957.4110083699954
2016-09-24,943.40330696999808
2016-09-25,1385.7180447599969
2016-09-26,3113.7308730600021
2016-09-27,3196.8005666999952
2016-09-28,2052.8425904700089
2016-09-29,3144.3307020399948
2016-09-30,2363.9076995899936
2016-10-01,1900.0600516799932
2016-10-02,4967.6416806900634
2016-10-03,3284.7221777900068
2016-10-04,4006.4969625000344
2016-10-05,3411.1070412000336
2016-10-06,3075.0575965200037
2016-10-07,4853.3546529700388
2016-10-08,3113.236697100052
2016-10-09,2735.9389728199972
2016-10-10,3178.066558120011
2016-10-11,12434.747569070179
2016-10-12,3854.2477862400192
