day,cfs
2018-01-05,1230
2018-01-06,1320
2018-01-07,1760
2018-01-08,1920
2018-01-09,2090
2018-01-10,1970
2018-01-11,2040
2018-01-12,2400
2018-01-13,5800
2018-01-14,10900
2018-01-15,9960
2018-01-16,11500
2018-01-17,10700
2018-01-18,9990
2018-01-19,7610
2018-01-20,7060
2018-01-21,6740
2018-01-22,5980
2018-01-23,5770
2018-01-24,10100
2018-01-25,12600
2018-01-26,10600
2018-01-27,8690
2018-01-28,7640
2018-01-29,7120
2018-01-30,6750
2018-01-31,6410
2018-02-01,6040
2018-02-02,5770
2018-02-03,5610
2018-02-04,5880
2018-02-05,7590
2018-02-06,7450
2018-02-07,7650
2018-02-08,10600
2018-02-09,13200
2018-02-10,15900
2018-02-11,19800
2018-02-12,24300
2018-02-13,30300
2018-02-14,29600
2018-02-15,25200
2018-02-16,21100
2018-02-17,23600
2018-02-18,31600
2018-02-19,30600
2018-02-20,27200
2018-02-21,23700
2018-02-22,21000
2018-02-23,19100
2018-02-24,18900
2018-02-25,19800
2018-02-26,28600
2018-02-27,39500
2018-02-28,34100
2018-03-01,27200
2018-03-02,22900
2018-03-03,23700
2018-03-04,21300
2018-03-05,18400
2018-03-06,15600
2018-03-07,14000
2018-03-08,12900
2018-03-09,12000
2018-03-10,11100
2018-03-11,10100
2018-03-12,9000
2018-03-13,8260
2018-03-14,7760
2018-03-15,7240
2018-03-16,6800
2018-03-17,6540
2018-03-18,6180
2018-03-19,5770
2018-03-20,5910
2018-03-21,6540
2018-03-22,6670
2018-03-23,6990
2018-03-24,7370
2018-03-25,8760
2018-03-26,10200
2018-03-27,11400
2018-03-28,12400
2018-03-29,13000
2018-03-30,16000
2018-03-31,22600
2018-04-01,23200
2018-04-02,19700
2018-04-03,18000
2018-04-04,22100
2018-04-05,33300
2018-04-06,30700
2018-04-07,24400
2018-04-08,19400
2018-04-09,16000
2018-04-10,14100
2018-04-11,12500
2018-04-12,11300
2018-04-13,10100
2018-04-14,9240
2018-04-15,8510
2018-04-16,17800
2018-04-17,40100
2018-04-18,73200
2018-04-19,52300
2018-04-20,35700
2018-04-21,27500
2018-04-22,22300
2018-04-23,18000
2018-04-24,15800
2018-04-25,15900
2018-04-26,16900
2018-04-27,21700
2018-04-28,25000
2018-04-29,22200
2018-04-30,19600
2018-05-01,16600
2018-05-02,14300
2018-05-03,12900
2018-05-04,11800
2018-05-05,10700
2018-05-06,10000
2018-05-07,10900
2018-05-08,21100
2018-05-09,23800
2018-05-10,19000
2018-05-11,15800
2018-05-12,13100
2018-05-13,11900
2018-05-14,12000
2018-05-15,24000
2018-05-16,50000
2018-05-17,56900
2018-05-18,71600
2018-05-19,101000
2018-05-20,109000
2018-05-21,88600
2018-05-22,59800
2018-05-23,47300
2018-05-24,45500
2018-05-25,33900
2018-05-26,26400
2018-05-27,22000
2018-05-28,21100
2018-05-29,21100
2018-05-30,23900
2018-05-31,19800
2018-06-01,22500
2018-06-02,32000
2018-06-03,59300
2018-06-04,126000
2018-06-05,148000
2018-06-06,67700
2018-06-07,44100
2018-06-08,32500
2018-06-09,25500
2018-06-10,21400
2018-06-11,22300
2018-06-12,36900
2018-06-13,43200
2018-06-14,35700
2018-06-15,27200
2018-06-16,22300
2018-06-17,17900
2018-06-18,14800
2018-06-19,13300
2018-06-20,12400
2018-06-21,12500
2018-06-22,18800
2018-06-23,37700
2018-06-24,74800
2018-06-25,58200
2018-06-26,38900
2018-06-27,27800
2018-06-28,21700
2018-06-29,18300
2018-06-30,17400
2018-07-01,15900
2018-07-02,13100
2018-07-03,10600
2018-07-04,9710
2018-07-05,9040
2018-07-06,10400
2018-07-07,11900
2018-07-08,10700
2018-07-09,10000
2018-07-10,9000
2018-07-11,7780
2018-07-12,6640
2018-07-13,5950
2018-07-14,5610
2018-07-15,5320
2018-07-16,5200
2018-07-17,5540
2018-07-18,5610
2018-07-19,5300
2018-07-20,5150
2018-07-21,8800
2018-07-22,35800
2018-07-23,32800
2018-07-24,26900
2018-07-25,28500
2018-07-26,33900
2018-07-27,32000
2018-07-28,26000
2018-07-29,18300
2018-07-30,13800
2018-07-31,14800
2018-08-01,21900
2018-08-02,24300
2018-08-03,35300
2018-08-04,53300
2018-08-05,62100
2018-08-06,41000
2018-08-07,29100
2018-08-08,23000
2018-08-09,20800
2018-08-10,21600
2018-08-11,17700
2018-08-12,15100
2018-08-13,15800
2018-08-14,15000
2018-08-15,15300
2018-08-16,15200
2018-08-17,13100
2018-08-18,11800
2018-08-19,11300
2018-08-20,13500
2018-08-21,13300
2018-08-22,26800
2018-08-23,35800
2018-08-24,24800
2018-08-25,18000
2018-08-26,14200
2018-08-27,11700
2018-08-28,10300
2018-08-29,9580
2018-08-30,8610
2018-08-31,8060
2018-09-01,10100
2018-09-02,12700
2018-09-03,11600
2018-09-04,11800
2018-09-05,9900
2018-09-06,8590
2018-09-07,7900
2018-09-08,9610
2018-09-09,18000
2018-09-10,69100
2018-09-11,130000
2018-09-12,88900
2018-09-13,54300
2018-09-14,48600
2018-09-15,40300
2018-09-16,30200
2018-09-17,25500
2018-09-18,28700
2018-09-19,61000
2018-09-20,61600
2018-09-21,41000
2018-09-22,31800
2018-09-23,27200
2018-09-24,26100
2018-09-25,35100
2018-09-26,53100
2018-09-27,80500
2018-09-28,94300
2018-09-29,132000
2018-09-30,108000
2018-10-01,61600
2018-10-02,44000
2018-10-03,34600
2018-10-04,28400
2018-10-05,25000
2018-10-06,22600
2018-10-07,19800
2018-10-08,18000
2018-10-09,16400
2018-10-10,15200
2018-10-11,14500
2018-10-12,15400
2018-10-13,17100
2018-10-14,20900
2018-10-15,18500
2018-10-16,16000
2018-10-17,14300
2018-10-18,12900
2018-10-19,11700
2018-10-20,11000
2018-10-21,10300
2018-10-22,9580
2018-10-23,9290
2018-10-24,8990
2018-10-25,8630
2018-10-26,8280
2018-10-27,10600
2018-10-28,12800
2018-10-29,13100
2018-10-30,13400
2018-10-31,13200
2018-11-01,13400
