day,mw
2018-04-07,29672.583333333332
2018-04-08,29461.083333333332
2018-04-09,33507.645833333336
2018-04-10,33328.75
2018-04-11,33602.666666666664
2018-04-12,33880.395833333336
2018-04-13,34151.520833333336
2018-04-14,28041.25
2018-04-15,27513.333333333332
2018-04-16,29344.0625
2018-04-17,28868.0625
2018-04-18,27966.645833333332
2018-04-19,28577.583333333332
2018-04-20,28042.729166666668
2018-04-21,25125.104166666668
2018-04-22,23817.208333333332
2018-04-23,27004.5625
2018-04-24,29894.166666666668
2018-04-25,28177.958333333332
2018-04-26,27651.8125
2018-04-27,32008.041666666668
2018-04-28,28924
2018-04-29,27901.458333333332
2018-04-30,30796.9375
2018-05-01,29387.041666666668
2018-05-02,29571.666666666668
2018-05-03,29570.395833333332
2018-05-04,29142.020833333332
2018-05-05,23944.375
2018-05-06,22593.895833333332
2018-05-07,23913.375
2018-05-08,27581.479166666668
2018-05-09,27781.541666666668
2018-05-10,27143.5
2018-05-11,26675.979166666668
2018-05-12,26150.6875
2018-05-13,24234.541666666668
2018-05-14,26840.145833333332
2018-05-15,27379.083333333332
2018-05-16,28104.979166666668
2018-05-17,27509.416666666668
2018-05-18,27555.895833333332
2018-05-19,23452.166666666668
2018-05-20,22317.020833333332
2018-05-21,27306.375
2018-05-22,26014.416666666668
2018-05-23,26824.75
2018-05-24,28353.0625
2018-05-25,28238.375
2018-05-26,22763.645833333332
2018-05-27,22229.416666666668
2018-05-28,24011.666666666668
2018-05-29,27350.416666666668
2018-05-30,28937.854166666668
2018-05-31,28916.666666666668
2018-06-01,28255.458333333332
2018-06-02,24909.0625
2018-06-03,23548.6875
2018-06-04,28334.0625
2018-06-05,27987.729166666668
2018-06-06,27172.354166666668
2018-06-07,27937.479166666668
2018-06-08,27981.416666666668
2018-06-09,24527.0625
2018-06-10,23462.979166666668
2018-06-11,26710.5
2018-06-12,28088.3125
2018-06-13,26788.666666666668
2018-06-14,24861.104166666668
2018-06-15,26587.729166666668
2018-06-16,23878.375
2018-06-17,23404.9375
2018-06-18,25765.354166666668
2018-06-19,27949.8125
2018-06-20,27052.479166666668
2018-06-21,25050.125
2018-06-22,25421.166666666668
2018-06-23,23252.520833333332
2018-06-24,22528.979166666668
2018-06-25,27083.854166666668
2018-06-26,27699.895833333332
2018-06-27,27387.479166666668
2018-06-28,27375.583333333332
2018-06-29,26399.5625
2018-06-30,22835.479166666668
2018-07-01,23160.166666666668
2018-07-02,26657.270833333332
2018-07-03,26854.541666666668
2018-07-04,27977.854166666668
2018-07-05,27998.354166666668
2018-07-06,27484.729166666668
2018-07-07,24629.895833333332
2018-07-08,23661.479166666668
2018-07-09,28335.979166666668
2018-07-10,27976.895833333332
2018-07-11,28340.395833333332
2018-07-12,28590.541666666668
2018-07-13,28073.875
2018-07-14,24089.395833333332
2018-07-15,23168.083333333332
2018-07-16,28300.770833333332
2018-07-17,28358.75
2018-07-18,28678.041666666668
2018-07-19,28032.708333333332
2018-07-20,27792.75
2018-07-21,24409.041666666668
2018-07-22,23385.291666666668
2018-07-23,28164.291666666668
2018-07-24,28378.291666666668
2018-07-25,27686.145833333332
2018-07-26,28208.916666666668
2018-07-27,28045.645833333332
2018-07-28,21208.25
2018-07-29,22319.395833333332
2018-07-30,26702.6875
2018-07-31,25581.479166666668
2018-08-01,25798.166666666668
2018-08-02,27100.9375
2018-08-03,27884.479166666668
2018-08-04,23802.229166666668
2018-08-05,22858.416666666668
2018-08-06,26898.354166666668
2018-08-07,27974.5625
2018-08-08,26823.8125
2018-08-09,27486.5
2018-08-10,26526.4375
2018-08-11,23698.25
2018-08-12,24073.25
2018-08-13,27643
2018-08-14,27638.395833333332
2018-08-15,26659.895833333332
2018-08-16,26797.291666666668
2018-08-17,25648.375
2018-08-18,23491.104166666668
2018-08-19,23614.4375
2018-08-20,28785.291666666668
2018-08-21,28245.375
2018-08-22,28096.1875
2018-08-23,27543.875
2018-08-24,25435.854166666668
2018-08-25,23077.666666666668
2018-08-26,24045.770833333332
2018-08-27,23792.8125
2018-08-28,28164.1875
2018-08-29,28225.3125
2018-08-30,28091.104166666668
2018-08-31,26651.8125
2018-09-01,24012.395833333332
2018-09-02,23177.6875
2018-09-03,28163.895833333332
2018-09-04,29052.604166666668
2018-09-05,28728.5
2018-09-06,29067.270833333332
2018-09-07,26899.958333333332
2018-09-08,25379.625
2018-09-09,23004.791666666668
2018-09-10,27002.833333333332
