day,wbtc
2021-02-24,123320.3685900000
2021-02-25,123320.3685900000
2021-02-26,123320.3685900000
2021-02-27,123320.3685900000
2021-02-28,123320.3685900000
2021-03-01,123320.3685900000
2021-03-02,123320.3685900000
2021-03-03,123320.3685900000
2021-03-04,123670.1935900000
2021-03-05,123670.1935900000
2021-03-06,124669.6935900000
2021-03-07,124669.6935900000
2021-03-08,125069.4935900000
2021-03-09,129918.0680900000
2021-03-10,130767.8927600000
2021-03-11,131596.4406300000
2021-03-12,132595.9406300000
2021-03-13,133595.4406300000
2021-03-14,133595.4406300000
2021-03-15,133595.4406300000
2021-03-16,133595.4406300000
2021-03-17,136303.4591600000
2021-03-18,136303.4591600000
2021-03-19,136303.4591600000
2021-03-20,137302.9591600000
2021-03-21,137302.9591600000
2021-03-22,137302.9591600000
2021-03-23,137302.9591600000
2021-03-24,137553.8336600000
2021-03-25,137903.6586600000
2021-03-26,137903.6586600000
2021-03-27,137903.6586600000
2021-03-28,137903.6586600000
2021-03-29,137903.6586600000
2021-03-30,139503.4586600000
2021-03-31,140003.2086600000
2021-04-01,140003.2086600000
2021-04-02,140003.2086600000
2021-04-03,140003.2086600000
2021-04-04,140502.9586600000
2021-04-05,140502.9586600000
2021-04-06,140502.9586600000
2021-04-07,141502.9579100000
2021-04-08,141502.9579100000
2021-04-09,142852.2829100000
2021-04-10,145850.7829100000
2021-04-11,145850.7829100000
2021-04-12,145850.7829100000
2021-04-13,145850.7829100000
2021-04-14,147689.8629100000
2021-04-15,148688.3634100000
2021-04-16,148688.3634100000
2021-04-17,148489.5248600000
2021-04-18,148489.5248600000
2021-04-19,153487.5248600000
2021-04-20,153737.3998600000
2021-04-21,153737.3998600000
2021-04-22,154237.1498600000
2021-04-23,155736.8998600000
2021-04-24,156086.7248600000
2021-04-25,156936.2998600000
2021-04-26,156936.2998600000
2021-04-27,156936.2998600000
2021-04-28,156936.2998600000
2021-04-29,156936.2998600000
2021-04-30,161934.2918600000
2021-05-01,162470.0286300000
2021-05-02,162470.0286300000
2021-05-03,167468.0186300000
2021-05-04,169267.1186300000
2021-05-05,170166.6686300000
2021-05-06,170416.5436300000
2021-05-07,170416.5436300000
2021-05-08,170166.5436300000
2021-05-09,170716.2686300000
2021-05-10,170716.2686300000
2021-05-11,173215.5186300000
2021-05-12,173215.5186300000
2021-05-13,174464.8936300000
2021-05-14,174964.6436300000
2021-05-15,174965.1430300000
2021-05-16,174965.1430300000
2021-05-17,176064.5930300000
2021-05-18,178864.9423300000
2021-05-19,178864.9423300000
2021-05-20,178964.6923300000
2021-05-21,178664.5924800000
2021-05-22,181663.4242000000
2021-05-23,181663.4242000000
2021-05-24,181663.4242000000
2021-05-25,181163.4242000000
2021-05-26,181163.4242000000
2021-05-27,184111.5386300000
2021-05-28,184111.5386300000
2021-05-29,185310.6886300000
2021-05-30,186310.1886300000
2021-05-31,186310.1886300000
2021-06-01,185710.7886300000
2021-06-02,185710.7886300000
2021-06-03,185710.7886300000
2021-06-04,186210.5386300000
2021-06-05,187210.0386300000
2021-06-06,187609.8386300000
2021-06-07,187609.8386300000
2021-06-08,187609.8386300000
2021-06-09,187609.8386300000
2021-06-10,187059.8386300000
2021-06-11,188960.8378300000
2021-06-12,188960.8378300000
2021-06-13,188960.8378300000
2021-06-14,188960.8378300000
2021-06-15,188960.8378300000
2021-06-16,188960.8378300000
2021-06-17,188960.8378300000
2021-06-18,191461.8370300000
2021-06-19,191461.8370300000
2021-06-20,191461.8370300000
2021-06-21,191461.8370300000
2021-06-22,191724.7948000000
2021-06-23,191424.7948000000
2021-06-24,190924.7948000000
2021-06-25,190924.7948000000
2021-06-26,190924.7948000000
2021-06-27,190924.7948000000
2021-06-28,190924.7948000000
2021-06-29,194025.4940000000
2021-06-30,194025.4940000000
2021-07-01,194776.1345300000
2021-07-02,195775.6345300000
2021-07-03,195775.6345300000
2021-07-04,195775.6345300000
2021-07-05,195775.6345300000
2021-07-06,195775.6345300000
2021-07-07,196275.3845300000
2021-07-08,197274.7845800000
2021-07-09,197274.7845800000
2021-07-10,196975.0845800000
2021-07-11,196975.0845800000
2021-07-12,196975.0845800000
2021-07-13,196575.0845800000
2021-07-14,196575.0845800000
2021-07-15,196175.0845800000
2021-07-16,196175.0845800000
2021-07-17,195775.0845800000
2021-07-18,195775.0845800000
2021-07-19,195775.0845800000
2021-07-20,195375.0845800000
2021-07-21,194975.0845800000
2021-07-22,194575.0845800000
2021-07-23,194575.0845800000
2021-07-24,194575.0845800000
2021-07-25,194575.0845800000
2021-07-26,194575.0845800000
2021-07-27,193075.0845800000
2021-07-28,192475.0845800000
2021-07-29,192974.3348300000
2021-07-30,192474.3348300000
2021-07-31,192474.3348300000
2021-08-01,192474.3348300000
2021-08-02,192474.3348300000
2021-08-03,192474.3348300000
2021-08-04,192474.3348300000
2021-08-05,193074.0348300000
2021-08-06,194023.5598300000
2021-08-07,194023.5598300000
2021-08-08,194523.3098300000
2021-08-09,194523.3098300000
2021-08-10,194523.3098300000
2021-08-11,194773.1848300000
2021-08-12,194773.1848300000
2021-08-13,194773.1848300000
2021-08-14,195023.0598300000
2021-08-15,195023.0598300000
2021-08-16,195023.0598300000
2021-08-17,194523.0598300000
2021-08-18,194523.0598300000
2021-08-19,194523.0598300000
2021-08-20,194523.0598300000
2021-08-21,194523.0598300000
2021-08-22,194523.0598300000
2021-08-23,194523.0598300000
2021-08-24,194523.0598300000
2021-08-25,197024.0594300000
2021-08-26,197423.8594300000
2021-08-27,197673.7344300000
2021-08-28,197673.7344300000
2021-08-29,197673.7344300000
2021-08-30,197673.7344300000
2021-08-31,197673.7344300000
2021-09-01,198223.4594300000
2021-09-02,198723.2094300000
2021-09-03,199123.0094300000
2021-09-04,199123.0094300000
2021-09-05,199123.0094300000
2021-09-06,199622.7594300000
2021-09-07,203121.3094300000
2021-09-08,203121.3094300000
